global_step,epsilon,td_loss,q_value,stuck_rate,mean_penalty
67000,0.05,0.0007798742735758424,0.6043292880058289,0.041,-0.00041000000000000005
68000,0.05,2.5406412532902323e-05,0.6011193990707397,0.04,-0.0004
69000,0.05,0.002704618265852332,0.5980706214904785,0.012,-0.00012
70000,0.05,0.0028294026851654053,0.5927759408950806,0.035,-0.00035
71000,0.05,0.00031779566779732704,0.5865763425827026,0.048,-0.00047999999999999996
72000,0.05,2.10404450626811e-05,0.581229031085968,0.05,-0.0005
73000,0.05,0.0026303373742848635,0.5780153870582581,0.007,-7.000000000000001e-05
74000,0.05,3.276408097008243e-05,0.5735042691230774,0.059,-0.00059
75000,0.05,4.791519677382894e-05,0.5702077746391296,0.009,-8.999999999999999e-05
76000,0.05,0.001619300921447575,0.576251745223999,0.001,-1e-05
77000,0.05,3.539587851264514e-05,0.5754980444908142,0.16,-0.0016
