global_step,epsilon,td_loss,q_value,stuck_rate,mean_penalty
58000,0.08166666666666667,0.0001463556691305712,0.6250008940696716,0.183,0.0
59000,0.0658333333333333,0.0002458952949382365,0.6116024255752563,0.524,0.0
60000,0.050000000000000044,0.00017829000717028975,0.6042224168777466,0.597,0.0
61000,0.05,5.9104771935380995e-05,0.6060054898262024,0.231,0.0
62000,0.05,0.0002491333580110222,0.598200261592865,0.458,0.0
63000,0.05,0.0006179556949064136,0.6004711389541626,0.301,0.0
64000,0.05,0.002661591861397028,0.5980914235115051,0.414,0.0
65000,0.05,0.002682908670976758,0.5910802483558655,0.376,0.0
66000,0.05,3.261870733695105e-05,0.5915325284004211,0.33,0.0
67000,0.05,0.00010209080210188404,0.5890454053878784,0.362,0.0
68000,0.05,2.1333273252821527e-05,0.5849283337593079,0.518,0.0
69000,0.05,0.00038289724034257233,0.5793607234954834,0.441,0.0
70000,0.05,3.496068165986799e-05,0.579465389251709,0.261,0.0
71000,0.05,0.00012892675295006484,0.5696608424186707,0.316,0.0
72000,0.05,3.5541102988645434e-05,0.5661019086837769,0.112,0.0
73000,0.05,2.601753658382222e-05,0.568139374256134,0.266,0.0
74000,0.05,0.002444399055093527,0.5664361119270325,0.393,0.0
75000,0.05,1.4104964066063985e-05,0.5652257204055786,0.247,0.0
76000,0.05,0.004922789521515369,0.5599682927131653,0.404,0.0
77000,0.05,3.026989179488737e-05,0.5516176223754883,0.176,0.0
78000,0.05,0.0024137343280017376,0.5424227118492126,0.301,0.0
79000,0.05,5.024978599976748e-05,0.541297972202301,0.401,0.0
80000,0.05,1.0197287338087335e-05,0.5428789854049683,0.58,0.0
81000,0.05,1.2614908882824238e-05,0.5354118943214417,0.293,0.0
82000,0.05,5.853124457644299e-05,0.5307085514068604,0.419,0.0
83000,0.05,1.2307711585890502e-05,0.525817334651947,0.424,0.0
84000,0.05,1.1030364476027898e-05,0.5227470397949219,0.419,0.0
85000,0.05,2.289694566570688e-05,0.5170289874076843,0.491,0.0
86000,0.05,0.0020595400128513575,0.5195544362068176,0.29,0.0
87000,0.05,0.002073152456432581,0.5166235566139221,0.412,0.0
